row_id	idx	total	scene_id	scene_path	step1_report	status	run_state	elapsed_sec	step2_ok	floor_status	floor_method	floor_confidence	fail_reason	step2_report_json	log_path	worker_exit_code
1	1	24	a_hospital_corridor_in_china	/Users/sota/code/3d/room/a_hospital_corridor_in_china.glb	/Users/sota/code/3d_new/output/room_full/step1/a_hospital_corridor_in_china/step1_start_report.json	OK	DONE	1.263	True	FALLBACK_OK	ray_fallback	0.9999990463256836		/Users/sota/code/3d_new/output/room_full/step2/a_hospital_corridor_in_china/step2_floor_report.json	/Users/sota/code/3d_new/output/room_full/step2/_batch_logs/a_hospital_corridor_in_china.log	0
2	2	24	a_liminal_space	/Users/sota/code/3d/room/a_liminal_space.glb	/Users/sota/code/3d_new/output/room_full/step1/a_liminal_space/step1_start_report.json	OK	DONE	1.485	True	OK	ransac	0.9499982815931336		/Users/sota/code/3d_new/output/room_full/step2/a_liminal_space/step2_floor_report.json	/Users/sota/code/3d_new/output/room_full/step2/_batch_logs/a_liminal_space.log	0
3	3	24	abandoned_classroom	/Users/sota/code/3d/room/abandoned_classroom.glb	/Users/sota/code/3d_new/output/room_full/step1/abandoned_classroom/step1_start_report.json	OK	DONE	0.939	True	OK	ransac	0.9998659034024392		/Users/sota/code/3d_new/output/room_full/step2/abandoned_classroom/step2_floor_report.json	/Users/sota/code/3d_new/output/room_full/step2/_batch_logs/abandoned_classroom.log	0
4	4	24	apartamento	/Users/sota/code/3d/room/apartamento.glb	/Users/sota/code/3d_new/output/room_full/step1/apartamento/step1_start_report.json	OK	DONE	1.595	True	OK	ransac	0.9416286008359935		/Users/sota/code/3d_new/output/room_full/step2/apartamento/step2_floor_report.json	/Users/sota/code/3d_new/output/room_full/step2/_batch_logs/apartamento.log	0
5	5	24	art_gallery	/Users/sota/code/3d/room/art_gallery.glb	/Users/sota/code/3d_new/output/room_full/step1/art_gallery/step1_start_report.json	OK	DONE	1.106	True	OK	ransac	0.9625220874621715		/Users/sota/code/3d_new/output/room_full/step2/art_gallery/step2_floor_report.json	/Users/sota/code/3d_new/output/room_full/step2/_batch_logs/art_gallery.log	0
6	6	24	bedroom_interior_design	/Users/sota/code/3d/room/bedroom_interior_design.glb	/Users/sota/code/3d_new/output/room_full/step1/bedroom_interior_design/step1_start_report.json	SKIP	SKIP	0.605	False	FAIL	none	0.0	STEP1_NOT_READY	/Users/sota/code/3d_new/output/room_full/step2/bedroom_interior_design/step2_floor_report.json	/Users/sota/code/3d_new/output/room_full/step2/_batch_logs/bedroom_interior_design.log	0
7	7	24	cafe_interior	/Users/sota/code/3d/room/cafe_interior.glb	/Users/sota/code/3d_new/output/room_full/step1/cafe_interior/step1_start_report.json	OK	DONE	1.112	True	OK	ransac	0.9427597777035699		/Users/sota/code/3d_new/output/room_full/step2/cafe_interior/step2_floor_report.json	/Users/sota/code/3d_new/output/room_full/step2/_batch_logs/cafe_interior.log	0
8	8	24	caspar_herman_storms_salong_-_ladegarden	/Users/sota/code/3d/room/caspar_herman_storms_salong_-_ladegarden.glb	/Users/sota/code/3d_new/output/room_full/step1/caspar_herman_storms_salong_-_ladegarden/step1_start_report.json	OK	DONE	2.511	True	OK	ransac	0.9570522863881442		/Users/sota/code/3d_new/output/room_full/step2/caspar_herman_storms_salong_-_ladegarden/step2_floor_report.json	/Users/sota/code/3d_new/output/room_full/step2/_batch_logs/caspar_herman_storms_salong_-_ladegarden.log	0
9	9	24	conference_room1	/Users/sota/code/3d/room/conference_room1.glb	/Users/sota/code/3d_new/output/room_full/step1/conference_room1/step1_start_report.json	OK	DONE	1.684	True	OK	ransac	0.9784898397638955		/Users/sota/code/3d_new/output/room_full/step2/conference_room1/step2_floor_report.json	/Users/sota/code/3d_new/output/room_full/step2/_batch_logs/conference_room1.log	0
10	10	24	destroyed_abandoned_manufactory_-_small_02	/Users/sota/code/3d/room/destroyed_abandoned_manufactory_-_small_02.glb	/Users/sota/code/3d_new/output/room_full/step1/destroyed_abandoned_manufactory_-_small_02/step1_start_report.json	OK	DONE	1.495	True	OK	ransac	0.936626876218767		/Users/sota/code/3d_new/output/room_full/step2/destroyed_abandoned_manufactory_-_small_02/step2_floor_report.json	/Users/sota/code/3d_new/output/room_full/step2/_batch_logs/destroyed_abandoned_manufactory_-_small_02.log	0
11	11	24	eloiza_e_ze_newton	/Users/sota/code/3d/room/eloiza_e_ze_newton.glb	/Users/sota/code/3d_new/output/room_full/step1/eloiza_e_ze_newton/step1_start_report.json	OK	DONE	1.842	True	FALLBACK_OK	ray_fallback	1.0		/Users/sota/code/3d_new/output/room_full/step2/eloiza_e_ze_newton/step2_floor_report.json	/Users/sota/code/3d_new/output/room_full/step2/_batch_logs/eloiza_e_ze_newton.log	0
