row_id	idx	total	scene_id	scene_path	status	run_state	quarantine	elapsed_sec	scene_init_ok	navmesh_status	fallback_plan	worker_exit_code	fail_reason	scene_init_json	bootstrap_json	log_path
1	1	13	a_liminal_space	/Users/sota/code/3d_new/data/room/a_liminal_space.glb	OK	OK	False	1.961	True	RECOMPUTED_OK	navmesh	0		/Users/sota/code/3d_new/output/room_stage0_v2/step0/a_liminal_space/scene_init.json	/Users/sota/code/3d_new/output/room_stage0_v2/step0/a_liminal_space/scene_bootstrap.json	/Users/sota/code/3d_new/output/room_stage0_v2/step0/_batch_logs/a_liminal_space.log
2	2	13	abandoned_classroom	/Users/sota/code/3d_new/data/room/abandoned_classroom.glb	OK	OK	False	1.377	True	FAIL	no_navmesh_sampling	0	navmesh_skipped_soft_anomaly	/Users/sota/code/3d_new/output/room_stage0_v2/step0/abandoned_classroom/scene_init.json	/Users/sota/code/3d_new/output/room_stage0_v2/step0/abandoned_classroom/scene_bootstrap.json	/Users/sota/code/3d_new/output/room_stage0_v2/step0/_batch_logs/abandoned_classroom.log
3	3	13	barn_interior_and_exterior	/Users/sota/code/3d_new/data/room/barn_interior_and_exterior.glb	OK	OK	False	2.678	True	FAIL	no_navmesh_sampling	0	navmesh_skipped_soft_anomaly	/Users/sota/code/3d_new/output/room_stage0_v2/step0/barn_interior_and_exterior/scene_init.json	/Users/sota/code/3d_new/output/room_stage0_v2/step0/barn_interior_and_exterior/scene_bootstrap.json	/Users/sota/code/3d_new/output/room_stage0_v2/step0/_batch_logs/barn_interior_and_exterior.log
4	4	13	caspar_herman_storms_salong_-_ladegarden	/Users/sota/code/3d_new/data/room/caspar_herman_storms_salong_-_ladegarden.glb	OK	OK	False	1.700	True	RECOMPUTED_OK	navmesh	0		/Users/sota/code/3d_new/output/room_stage0_v2/step0/caspar_herman_storms_salong_-_ladegarden/scene_init.json	/Users/sota/code/3d_new/output/room_stage0_v2/step0/caspar_herman_storms_salong_-_ladegarden/scene_bootstrap.json	/Users/sota/code/3d_new/output/room_stage0_v2/step0/_batch_logs/caspar_herman_storms_salong_-_ladegarden.log
5	5	13	eloiza_e_ze_newton	/Users/sota/code/3d_new/data/room/eloiza_e_ze_newton.glb	OK	OK	False	1.961	True	RECOMPUTED_OK	navmesh	0		/Users/sota/code/3d_new/output/room_stage0_v2/step0/eloiza_e_ze_newton/scene_init.json	/Users/sota/code/3d_new/output/room_stage0_v2/step0/eloiza_e_ze_newton/scene_bootstrap.json	/Users/sota/code/3d_new/output/room_stage0_v2/step0/_batch_logs/eloiza_e_ze_newton.log
6	6	13	modern_apartment_interior	/Users/sota/code/3d_new/data/room/modern_apartment_interior.glb	QUARANTINED	QUARANTINED	True	0.722	False	FAIL	no_navmesh_sampling	0	QUARANTINED_HARD_ANOMALY	/Users/sota/code/3d_new/output/room_stage0_v2/step0/modern_apartment_interior/scene_init.json	/Users/sota/code/3d_new/output/room_stage0_v2/step0/modern_apartment_interior/scene_bootstrap.json	/Users/sota/code/3d_new/output/room_stage0_v2/step0/_batch_logs/modern_apartment_interior.log
7	7	13	modern_bathroom	/Users/sota/code/3d_new/data/room/modern_bathroom.glb	OK	OK	False	1.593	True	RECOMPUTED_OK	navmesh	0		/Users/sota/code/3d_new/output/room_stage0_v2/step0/modern_bathroom/scene_init.json	/Users/sota/code/3d_new/output/room_stage0_v2/step0/modern_bathroom/scene_bootstrap.json	/Users/sota/code/3d_new/output/room_stage0_v2/step0/_batch_logs/modern_bathroom.log
8	8	13	modern_office	/Users/sota/code/3d_new/data/room/modern_office.glb	OK	OK	False	2.054	True	RECOMPUTED_OK	navmesh	0		/Users/sota/code/3d_new/output/room_stage0_v2/step0/modern_office/scene_init.json	/Users/sota/code/3d_new/output/room_stage0_v2/step0/modern_office/scene_bootstrap.json	/Users/sota/code/3d_new/output/room_stage0_v2/step0/_batch_logs/modern_office.log
9	9	13	office_of_a_crane_operator	/Users/sota/code/3d_new/data/room/office_of_a_crane_operator.glb	OK	OK	False	2.883	True	RECOMPUTED_OK	navmesh	0		/Users/sota/code/3d_new/output/room_stage0_v2/step0/office_of_a_crane_operator/scene_init.json	/Users/sota/code/3d_new/output/room_stage0_v2/step0/office_of_a_crane_operator/scene_bootstrap.json	/Users/sota/code/3d_new/output/room_stage0_v2/step0/_batch_logs/office_of_a_crane_operator.log
10	10	13	sci_fi_biolab_corridor	/Users/sota/code/3d_new/data/room/sci_fi_biolab_corridor.glb	OK	OK	False	1.569	True	RECOMPUTED_OK	navmesh	0		/Users/sota/code/3d_new/output/room_stage0_v2/step0/sci_fi_biolab_corridor/scene_init.json	/Users/sota/code/3d_new/output/room_stage0_v2/step0/sci_fi_biolab_corridor/scene_bootstrap.json	/Users/sota/code/3d_new/output/room_stage0_v2/step0/_batch_logs/sci_fi_biolab_corridor.log
