row_id	idx	total	scene_id	scene_path	status	run_state	quarantine	elapsed_sec	scene_init_ok	navmesh_status	fallback_plan	worker_exit_code	fail_reason	scene_init_json	bootstrap_json	log_path
1	1	24	a_hospital_corridor_in_china	/Users/sota/code/3d/room/a_hospital_corridor_in_china.glb	OK	OK	False	1.559	True	RECOMPUTED_OK	navmesh	0		/Users/sota/code/3d_new/output/room_full/step0/a_hospital_corridor_in_china/scene_init.json	/Users/sota/code/3d_new/output/room_full/step0/a_hospital_corridor_in_china/scene_bootstrap.json	/Users/sota/code/3d_new/output/room_full/step0/_batch_logs/a_hospital_corridor_in_china.log
2	2	24	a_liminal_space	/Users/sota/code/3d/room/a_liminal_space.glb	OK	OK	False	2.132	True	RECOMPUTED_OK	navmesh	0		/Users/sota/code/3d_new/output/room_full/step0/a_liminal_space/scene_init.json	/Users/sota/code/3d_new/output/room_full/step0/a_liminal_space/scene_bootstrap.json	/Users/sota/code/3d_new/output/room_full/step0/_batch_logs/a_liminal_space.log
3	3	24	abandoned_classroom	/Users/sota/code/3d/room/abandoned_classroom.glb	OK	OK	False	1.519	True	FAIL	no_navmesh_sampling	0	navmesh_skipped_soft_anomaly	/Users/sota/code/3d_new/output/room_full/step0/abandoned_classroom/scene_init.json	/Users/sota/code/3d_new/output/room_full/step0/abandoned_classroom/scene_bootstrap.json	/Users/sota/code/3d_new/output/room_full/step0/_batch_logs/abandoned_classroom.log
4	4	24	apartamento	/Users/sota/code/3d/room/apartamento.glb	OK	OK	False	1.578	True	RECOMPUTED_OK	navmesh	0		/Users/sota/code/3d_new/output/room_full/step0/apartamento/scene_init.json	/Users/sota/code/3d_new/output/room_full/step0/apartamento/scene_bootstrap.json	/Users/sota/code/3d_new/output/room_full/step0/_batch_logs/apartamento.log
5	5	24	art_gallery	/Users/sota/code/3d/room/art_gallery.glb	OK	OK	False	1.520	True	RECOMPUTED_OK	navmesh	0		/Users/sota/code/3d_new/output/room_full/step0/art_gallery/scene_init.json	/Users/sota/code/3d_new/output/room_full/step0/art_gallery/scene_bootstrap.json	/Users/sota/code/3d_new/output/room_full/step0/_batch_logs/art_gallery.log
6	6	24	bedroom_interior_design	/Users/sota/code/3d/room/bedroom_interior_design.glb	QUARANTINED	QUARANTINED	True	0.763	False	FAIL	no_navmesh_sampling	0	QUARANTINED_HARD_ANOMALY	/Users/sota/code/3d_new/output/room_full/step0/bedroom_interior_design/scene_init.json	/Users/sota/code/3d_new/output/room_full/step0/bedroom_interior_design/scene_bootstrap.json	/Users/sota/code/3d_new/output/room_full/step0/_batch_logs/bedroom_interior_design.log
7	7	24	cafe_interior	/Users/sota/code/3d/room/cafe_interior.glb	OK	OK	False	1.330	True	RECOMPUTED_OK	navmesh	0		/Users/sota/code/3d_new/output/room_full/step0/cafe_interior/scene_init.json	/Users/sota/code/3d_new/output/room_full/step0/cafe_interior/scene_bootstrap.json	/Users/sota/code/3d_new/output/room_full/step0/_batch_logs/cafe_interior.log
8	8	24	caspar_herman_storms_salong_-_ladegarden	/Users/sota/code/3d/room/caspar_herman_storms_salong_-_ladegarden.glb	OK	OK	False	1.802	True	RECOMPUTED_OK	navmesh	0		/Users/sota/code/3d_new/output/room_full/step0/caspar_herman_storms_salong_-_ladegarden/scene_init.json	/Users/sota/code/3d_new/output/room_full/step0/caspar_herman_storms_salong_-_ladegarden/scene_bootstrap.json	/Users/sota/code/3d_new/output/room_full/step0/_batch_logs/caspar_herman_storms_salong_-_ladegarden.log
9	9	24	conference_room1	/Users/sota/code/3d/room/conference_room1.glb	OK	OK	False	2.785	True	RECOMPUTED_OK	navmesh	0		/Users/sota/code/3d_new/output/room_full/step0/conference_room1/scene_init.json	/Users/sota/code/3d_new/output/room_full/step0/conference_room1/scene_bootstrap.json	/Users/sota/code/3d_new/output/room_full/step0/_batch_logs/conference_room1.log
10	10	24	destroyed_abandoned_manufactory_-_small_02	/Users/sota/code/3d/room/destroyed_abandoned_manufactory_-_small_02.glb	OK	OK	False	1.961	True	RECOMPUTED_OK	navmesh	0		/Users/sota/code/3d_new/output/room_full/step0/destroyed_abandoned_manufactory_-_small_02/scene_init.json	/Users/sota/code/3d_new/output/room_full/step0/destroyed_abandoned_manufactory_-_small_02/scene_bootstrap.json	/Users/sota/code/3d_new/output/room_full/step0/_batch_logs/destroyed_abandoned_manufactory_-_small_02.log
